geography,age,year,outcome_name,source,value,sample_size
United States,Total,2018,Diabetes,Epic Cosmos: HbA1c,6.14,71183551
United States,Total,2018,Diabetes,Epic Cosmos: ICD10,10.85,71183551
United States,Total,2019,Diabetes,Epic Cosmos: HbA1c,6.47,76976766
United States,Total,2019,Diabetes,Epic Cosmos: ICD10,11.33,76976766
United States,Total,2020,Diabetes,Epic Cosmos: HbA1c,6.78,81564026
United States,Total,2020,Diabetes,Epic Cosmos: ICD10,11.69,81564026
United States,Total,2021,Diabetes,Epic Cosmos: HbA1c,6.49,96970681
United States,Total,2021,Diabetes,Epic Cosmos: ICD10,11.24,96970681
United States,Total,2022,Diabetes,Epic Cosmos: HbA1c,6.83,100713176
United States,Total,2022,Diabetes,Epic Cosmos: ICD10,11.87,100713176
United States,Total,2023,Diabetes,Epic Cosmos: HbA1c,7.0,108548537
United States,Total,2023,Diabetes,Epic Cosmos: ICD10,12.15,108548537
United States,Total,2024,Diabetes,Epic Cosmos: HbA1c,7.35,112000000
United States,Total,2024,Diabetes,Epic Cosmos: ICD10,12.42,112000000
United States,Total,2025,Diabetes,Epic Cosmos: HbA1c,7.58,115000000
United States,Total,2025,Diabetes,Epic Cosmos: ICD10,12.68,115000000
