geography,date,value,value_smooth,source,suppressed_flag
Alabama,2025-12-13,0.49,0.56,CDC NSSP,0
Alaska,2025-12-13,0.23,0.17,CDC NSSP,0
Arizona,2025-12-13,0.03,0.03,CDC NSSP,0
Arkansas,2025-12-13,0.6,0.57,CDC NSSP,0
California,2025-12-13,0.11,0.09,CDC NSSP,0
Colorado,2025-12-13,0.11,0.08,CDC NSSP,0
Connecticut,2025-12-13,0.15,0.12,CDC NSSP,0
Delaware,2025-12-13,0.52,0.46,CDC NSSP,0
Florida,2025-12-13,0.45,0.49,CDC NSSP,0
Georgia,2025-12-13,0.41,0.4,CDC NSSP,0
Hawaii,2025-12-13,0.46,0.33,CDC NSSP,0
Idaho,2025-12-13,0.1,0.08,CDC NSSP,0
Illinois,2025-12-13,0.23,0.19,CDC NSSP,0
Indiana,2025-12-13,0.27,0.2,CDC NSSP,0
Iowa,2025-12-13,0.1,0.09,CDC NSSP,0
Kansas,2025-12-13,0.22,0.12,CDC NSSP,0
Kentucky,2025-12-13,0.39,0.33,CDC NSSP,0
Louisiana,2025-12-13,0.49,0.45,CDC NSSP,0
Maine,2025-12-13,0.04,0.02,CDC NSSP,0
Maryland,2025-12-13,0.43,0.36,CDC NSSP,0
Massachusetts,2025-12-13,0.25,0.22,CDC NSSP,0
Michigan,2025-12-13,0.11,0.09,CDC NSSP,0
Minnesota,2025-12-13,0.19,0.19,CDC NSSP,0
Mississippi,2025-12-13,0.31,0.22,CDC NSSP,0
Missouri,2025-12-13,0.07,0.04,CDC NSSP,0
Montana,2025-12-13,0.07,0.04,CDC NSSP,0
Nebraska,2025-12-13,0.01,0.02,CDC NSSP,0
Nevada,2025-12-13,0.11,0.07,CDC NSSP,0
New Hampshire,2025-12-13,0.23,0.16,CDC NSSP,0
New Jersey,2025-12-13,0.35,0.3,CDC NSSP,0
New Mexico,2025-12-13,0.06,0.05,CDC NSSP,0
New York,2025-12-13,0.27,0.21,CDC NSSP,0
North Carolina,2025-12-13,0.42,0.38,CDC NSSP,0
North Dakota,2025-12-13,0.07,0.05,CDC NSSP,0
Ohio,2025-12-13,0.15,0.12,CDC NSSP,0
Oklahoma,2025-12-13,0.14,0.15,CDC NSSP,0
Oregon,2025-12-13,0.09,0.08,CDC NSSP,0
Pennsylvania,2025-12-13,0.2,0.18,CDC NSSP,0
Rhode Island,2025-12-13,0.3,0.23,CDC NSSP,0
South Carolina,2025-12-13,0.57,0.54,CDC NSSP,0
South Dakota,2025-12-13,0.04,0.03,CDC NSSP,0
Tennessee,2025-12-13,0.33,0.27,CDC NSSP,0
Texas,2025-12-13,0.53,0.49,CDC NSSP,0
Utah,2025-12-13,0.04,0.04,CDC NSSP,0
Vermont,2025-12-13,0.05,0.04,CDC NSSP,0
Virginia,2025-12-13,0.46,0.42,CDC NSSP,0
Washington,2025-12-13,0.25,0.22,CDC NSSP,0
West Virginia,2025-12-13,0.24,0.27,CDC NSSP,0
Wisconsin,2025-12-13,0.08,0.06,CDC NSSP,0
Wyoming,2025-12-13,0.05,0.04,CDC NSSP,0
